timestamp_utc,park_id,land,ride,wait_time,is_open,last_updated
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Under the Sea - Journey of The Little Mermaid,40,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Fantasyland,Walt Disney World Railroad - Fantasyland,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Frontierland,Big Thunder Mountain Railroad,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Frontierland,Country Bear Musical Jamboree,10,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Frontierland,Tiana's Bayou Adventure,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Liberty Square,Haunted Mansion,50,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Liberty Square,The Hall of Presidents,15,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,"Main Street, U.S.A.",Main Street Vehicles,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,"Main Street, U.S.A.",Meet Mickey at Town Square Theater,45,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,"Main Street, U.S.A.","Walt Disney World Railroad - Main Street, U.S.A.",0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,Astro Orbiter,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,Buzz Lightyear's Space Ranger Spin,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,Monsters Inc. Laugh Floor,15,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,Space Mountain,60,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,Tomorrowland Speedway,0,False,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,Tomorrowland Transit Authority PeopleMover,15,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,TRON Lightcycle / Run,90,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Tomorrowland,Walt Disney's Carousel of Progress,5,True,2025-09-06T21:05:52.000Z
2025-09-06T21:07:37.209985+00:00,6,Other,Trick-or-Treat Locations at Mickey's Not-So-Scary Halloween Party,0,True,2025-09-06T21:05:52.000Z
